,year,event,round,heat,name,scores
18,2008,Rip Curl Pro Bells Beach,Round 2,Heat 10 ,Daniel Wills,"[4.33, 1.0, 5.83, 7.67]"
19,2008,Rip Curl Pro Bells Beach,Round 2,Heat 10 ,Jordy Smith,"[0.5, 6.5, 3.67, 5.07, 4.47, 4.33]"
20,2008,Rip Curl Pro Bells Beach,Round 2,Heat 11 ,Neco Padaratz,"[0.5, 1.67, 2.67, 6.0, 6.77, 3.27]"
21,2008,Rip Curl Pro Bells Beach,Round 2,Heat 11 ,Ricky Basnett,"[4.67, 2.5, 0.37, 5.83, 4.17, 4.57, 0.33]"
22,2008,Rip Curl Pro Bells Beach,Round 2,Heat 12 ,Freddy Patacchia Jr.,"[1.33, 8.0, 4.5, 2.83]"
23,2008,Rip Curl Pro Bells Beach,Round 2,Heat 12 ,Bruce Irons,"[5.17, 6.5, 2.33, 0.3, 0.8]"
24,2008,Rip Curl Pro Bells Beach,Round 2,Heat 13 ,Luke Munro,"[1.67, 1.0, 0.2, 1.0, 0.5, 1.47, 0.3, 7.0, 4.27, 0.2, 1.77]"
25,2008,Rip Curl Pro Bells Beach,Round 2,Heat 13 ,Mikael Picon,"[4.5, 2.07, 3.0, 4.83, 0.93]"
26,2008,Rip Curl Pro Bells Beach,Round 2,Heat 14 ,Dane Reynolds,"[6.67, 0.73, 9.73, 9.0, 4.1]"
27,2008,Rip Curl Pro Bells Beach,Round 2,Heat 14 ,Heitor Alves,"[9.17, 2.33, 0.5, 0.83, 2.0, 0.83, 2.47]"
28,2008,Rip Curl Pro Bells Beach,Round 2,Heat 15 ,Roy Powers,"[7.83, 0.5, 5.5, 3.83, 4.27]"
29,2008,Rip Curl Pro Bells Beach,Round 2,Heat 16 ,Kieren Perrow,[]
30,2008,Rip Curl Pro Bells Beach,Round 2,Heat 16 ,Mick Campbell,"[1.0, 5.33, 6.0, 0.57, 2.5, 3.13, 0.23, 2.47]"
31,2008,Rip Curl Pro Bells Beach,Round 1,Heat 1 ,Bobby Martinez,"[6.67, 6.0]"
32,2008,Rip Curl Pro Bells Beach,Round 1,Heat 1 ,Luke Munro,"[0.93, 2.17, 0.67, 0.83, 4.17, 2.9]"
33,2008,Rip Curl Pro Bells Beach,Round 1,Heat 1 ,Royden Bryson,"[2.5, 3.17]"
34,2008,Rip Curl Pro Bells Beach,Round 1,Heat 2 ,Dayyan Neve,"[4.67, 5.33]"
35,2008,Rip Curl Pro Bells Beach,Round 1,Heat 2 ,Dean Morrison,"[2.17, 2.43, 5.67, 0.77, 2.43, 2.6]"
